LU1 zhongfu Middle Palace 中府	zf	LU1 中府
LU2 yunmen Cloud Gate 云门	ym	LU2 云门
LU3 tianfu Palace of Heaven 天府	tf	LU3 天府
LU4 xiaobai Clasping the White 俠白	xb	LU4 俠白
LU5  chize Cubit Marsh 尺泽	cz	LU5 尺泽
LU6 kongzui Maximum Opening 孔最	kz	LU6 孔最
LU7 lieque Broken Sequence 列缺	lq	LU7 列缺
LU8 jingqu Channel Gutter 经渠	jq	LU8  经渠
LU9 taiyuan Supreme Abyss 太渊	ty	LU9 太渊
LU10 yuji Fish Border 鱼际	yj	LU10 鱼际
LU11 shaoshang Lesser Shang 少商	ss	LU11 少商
LI1 shangyang Shang Yang 商阳	sy	LI1 商阳
LI2 erjian 2nd Space 二间	ej	LI2 二间
LI3 sanjian 3rd Space 三间	sj	LI3 三间
LI4 hegu Joining Valley 合谷	hg	LI4 合谷
LI5 yangxi Yang Stream 阳溪	yx	LI5 阳溪
LI6 pianli Veering Passage 偏历	pl	LI6 偏历
LI7 wenliu Warm Flow 温溜	wl	LI7 温溜
LI8 xialian Lower Angle 下亷	xl	LI8 下亷
LI9 shanglian Upper Angle 上亷	sl	LI9 上亷
LI10 shousanli  Arm Three Li 手三里	ssl	LI10 手三里
LI11 quchi Pool at the Bend 曲池	qc	LI11 曲池
LI12 zhouliao Elbow Crevice 肘髎	zl	LI12 肘髎
LI13 shouwuli Arm Five Li 手五里	swl	LI13 手五里
LI14 binao Upper Arm 臂臑	bn	LI14 臂臑
LI15 jianyu Shoulder Bone 肩髃	jy	LI15 肩髃
LI16 jugu  Great Bone 巨骨	jg	LI16 巨骨
LI17 tianding  Heaven’s Tripod 天鼎	td	LI17 天鼎
LI18 futu Support the Prominence 扶突	ft	LI18 扶突
LI19 kouheliao  Mouth Grain Crevice 口禾髎	khl	LI19 口禾髎
LI20 yingxiang  Welcome Fragrance 迎香	yx	LI20 迎香
ST1 chengqi Container of Tears 承泣	cq	ST1 承泣
