Hand Yangming Large Intestine Meridian	手阳明大肠经 	symdcj
Foot Yangming Stomach Meridian	足阳眀胃经 	zymwj
Foot Taiyin Spleen Meridian	足太阴脾经 	ztypj
Hand Shaoyin Heart Meridian	手少阴心经 	ssyxj
Hand Taiyang Small Intestine Meridian	手太阳小肠经 	styxcj
Foot Taiyang Bladder Meridian	足太阳膀胱经	ztypgj
Foot Shaoyin Kidney Meridian	足少阴肾经 	zsysj
Hand Jueyin Pericardium Meridian	手厥阴心包经 	sjyxbj
Hand Shaoyang San Jiao Meridian	手少阳三焦经 	ssysjj
Foot Shaoyang Gallbladder Meridian	足少阳胆经 	zsydj
Foot Jueyin Liver Meridian	足厥阴肝经 	zjygj
Du Meridian	督脉	dm
Ren Meridian	任脉 	rm
Yin Qiao Meridian	阴桥脉	yqm
Yang Qiao Meridian	阳桥脉	yqm
Yin Wei Meridian	阴维脉	ywm
Yang Wei Meridian	阳维脉	ywm
Dai Meridian	带脉 	dm
Chong Meridian	冲脉	cm
